Time Point,1X,0.25X,Control
0,0.277,0.21,0.283
1,0.257,0.267,0.29
2,0.383,0.4,0.36
3,0.383,0.41,0.467
4,0.557,0.467,0.54
5,0.523,0.577,0.697
6,0.5,0.61,0.883
7,0.573,0.767,1.117
